Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
Trazodone use and risk of dementia: A population-based cohort study.;30721226;Yes;n/a;2019;5;No;UK;UK;The Health Improvement Network;UK
The electronic frailty index as an indicator of community healthcare service utilisation in the older population.;30590413;Yes;n/a;2019;18;No;UK;UK;Multiple;UK
Ensemble-based Methods to Improve De-identification of Electronic Health Record Narratives.;30815108;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;
Neuropathy and Other Risk Factors for Lower Extremity Amputation in People with Diabetes Using a Clinical Data Repository System.;30194829;No (not retrieved);Not retrieved;2018;;;;;;
De-identification of Clinical Text via Bi-LSTM-CRF with Neural Language Models.;32308882;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;
deidentify.;29854113;No (excluded before screening);Outside the search period;2017;;;;;;
Challenges in the Analysis of Outcomes for Surgical Compared to Radiotherapy Treatment of Prostate Cancer.;29275307;Yes;n/a;2018;2;No;US;US;University of Pittsburgh Medical Center;US
Using big data from real-world Australian rheumatology encounters to enhance clinical care and research.;31820719;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;
Impact of Air Pollution and Trans-Boundary Haze on Nation-Wide Emergency Department Visits and Hospital Admissions in Singapore.;32246709;Yes;n/a;2020;;No;SG;SG;Multiple healthcare facilities, Ministry of Health Singapore;SG
Exploring Older Adults' Strengths, Problems, and Wellbeing Using De-identified Electronic Health Record Data.;30815168;Yes;n/a;2018;;No;US;US;Not precisely specified;US
Enhancing medical data quality through data curation: a case study in primary Sjögren's syndrome.;31287405;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;
The Effects of Ultraviolet C Irradiation in the Treatment of Chronic Wounds: A Retrospective, Descriptive Study.;31373559;Yes;n/a;2019;12;No;US;US;Northern Hospital of Surry County;US
Bleeding Entity Recognition in Electronic Health Records: A Comprehensive Analysis of End-to-End Systems.;33936461;No (excluded in title and abstract screening);No tabular data;2020;;;;;;
A Computable Phenotype Model for Classification of Men Who Have Sex With Men Within a Large Linked Database of Laboratory, Surveillance, and Administrative Healthcare Records.;34713035;Yes;n/a;2020;;No;CA;CA;University of British Columbia;CA
Data Resource: population level family justice administrative data with opportunities for data linkage.;34233348;Yes;n/a;2020;;No;UK;UK;SAIL Databank;UK
How effective are population health surveys for estimating prevalence of chronic conditions compared to anonymised clinical data?;34232969;Yes;n/a;2020;;No;UK;UK;SAIL Databank;UK
A cloud-based bioinformatic analytic infrastructure and Data Management Core for the Expanded Program on Immunization Consortium.;33948273;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2020;;;;;;
Interrogating an ICD-coded electronic health records database to characterize the epidemiology of prosopagnosia.;33948237;Yes;n/a;2020;18;No;US;US;Multiple;US
Identifying children with Cystic Fibrosis in population-scale routinely collected data in Wales: A Retrospective Review.;33644411;Yes;n/a;2020;4;No;UK;UK;SAIL Databank;UK
A Simulation Paradigm for Evaluation of Subtle Liver Lesions at Pediatric CT: Performance and Confidence.;33778672;No (excluded in title and abstract screening);No tabular data;2019;;;;;;
Data Resource: Vascular Risk in Adult New Zealanders (VARIANZ) datasets.;34095534;No (excluded in title and abstract screening);No medical research (focus on data provision);2019;;;;;;
Prognostic value of plasma circulating tumor DNA fraction across four common cancer types: a real-world outcomes study.;36208697;No (excluded before screening);Outside the search period;2023;;;;;;
Real-world effectiveness of CPX-351 vs venetoclax and azacitidine in acute myeloid leukemia.;35507945;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Evaluating real-world treatment patterns and outcomes of mantle cell lymphoma.;35561314;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
The Effects of HER2 Alterations in EGFR Mutant Non-small Cell Lung Cancer.;34801409;Yes;n/a;2022;2;No;US;US;Caris Life Sciences;US
Systemic Therapies Following Progression on First-line CDK4/6-inhibitor Treatment: Analysis of Real-world Data.;35552450;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Dermatologic Research Potential of the Observational Health Data Sciences and Informatics (OHDSI) Network.;33735862;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Data Ingestion for AI in Prostate Cancer.;35612065;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Venetoclax and Hypomethylating Agents as First-line Treatment in Newly Diagnosed Patients with AML in a Predominately Community Setting in the US.;35925602;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Data Pseudonymization in a Range That Does Not Affect Data Quality: Correlation with the Degree of Participation of Clinicians.;34783216;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Improving Data Quality in Clinical Research Informatics Tools.;35574572;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Benchmarking Modern Named Entity Recognition Techniques for Free-text Health Record Deidentification.;34457124;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Achalasia Quality Indicator Adherence.;36459295;No (excluded before screening);Outside the search period;2023;;;;;;
Risk of Myocarditis from COVID-19 Infection in People Under Age 20: A Population-Based Analysis.;34341797;No (excluded before screening);Preprint;2022;;;;;;
Cerner real-world data (CRWD) - A de-identified multicenter electronic health records database.;35434225;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Research Goal-Driven Data Model and Harmonization for De-Identifying Patient Data in Radiomics.;34241789;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Improving domain adaptation in de-identification of electronic health records through self-training.;34363664;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Building trust in real-world data: lessons from INSIGHT, the UK's health data research hub for eye health and oculomics.;35916569;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
E-Infrastructures and the divergent assetization of public health data: Expectations, uncertainties, and asymmetries.;33499771;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
Integrating real world data and clinical trial results using survival data reconstruction and marginal moment-balancing weights.;34756156;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
The Serious Illness Population: Ascertainment via Electronic Health Record or Claims Data.;33933617;Yes;n/a;2021;;No;US;US;Optum;US
Deriving household composition using population-scale electronic health record data-A reproducible methodology.;33780469;Yes;n/a;2021;;No;UK;UK;SAIL Databank;UK
Data resource: Children receiving care and support and children in need, administrative records in Wales.;35719716;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Standardized Health data and Research Exchange (SHaRE): promoting a learning health system.;35047761;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Clozapine treatment and risk of COVID-19.;35815763;Yes;n/a;2022;5;Yes;UK;UK;Cambridgeshire and Peterborough NHS Foundation Trust, Cambridge University Hospitals NHS Foundation Trust;UK
Computerized cardiotocography analysis during labor - A state-of-the-art review.;36541016;No (excluded before screening);Outside the search period;2023;;;;;;
[Artificial intelligence in neurocritical care].;33491152;No (excluded before screening);Non-English;2021;;;;;;
Building a best-in-class automated de-identification tool for electronic health records through ensemble learning.;34179842;No (excluded in title and abstract screening);No medical research (focus on anonymization);2021;;;;;;
Quantitating and assessing interoperability between electronic health records.;35015861;Yes;n/a;2022;;No;US;US;CancerLinQ;US
Public opinion on sharing data from health services for clinical and research purposes without explicit consent: an anonymous online survey in the UK.;35477868;No (excluded in title and abstract screening);Anonymous survey;2022;;;;;;
A large language model for electronic health records.;36572766;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Algorithms to anonymize structured medical and healthcare data: A systematic review.;36619476;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;;;;;;
Using Large Aggregated De-Identified Electronic Health Record Data to Determine the Prevalence of Common Chronic Diseases in Pediatric Patients Who Visited Primary Care Clinics.;34022428;Yes;n/a;2021;;No;US;US;IBM;US
Comparing Electronic Health Record Domains' Utility to Identify Transgender Patients.;36644028;Yes;n/a;2022;;No;US;US;Not precisely specified;US
STAR sleep recording export software for automatic export and anonymization of sleep studies.;36151239;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
Preconception health service provision among women with and without substance use disorders.;34871977;No (not retrieved);Not retrieved;2022;;;;;;
Careful: An administrative child welfare and electronic health records linked dataset.;35966947;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Development of an Open-Source Annotated Glaucoma Medication Dataset From Clinical Notes in the Electronic Health Record.;36441131;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Protected Health Information Recognition of Unstructured Code-Mixed Electronic Health Records in Taiwan.;35673092;No (excluded in title and abstract screening);No medical research (focus on anonymization);2022;;;;;;
Design and Development of a Medical Image Databank for Assisting Studies in Radiomics.;35166968;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
