Title;Authors;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin;Data origin (World Bank income group)
Characteristics of patients with motor functional neurological disorder in a large UK mental health service: a case-control study.;O'Connell N and Nicholson TR and Wessely S and David AS;30773149;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Impact of delaying initiation of anaplastic lymphoma kinase inhibitor treatment on survival in patients with advanced non-small-cell lung cancer.;Sheinson D and Wong WB and Wu N and Mansfield AS;32276206;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Impact of matching error on linked mortality outcome in a data linkage of secondary mental health data with Hospital Episode Statistics (HES) and mortality records in South East London: a cross-sectional study.;Jewell A and Broadbent M and Hayes RD and Gilbert R and Stewart R and Downs J;32641360;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Development of predictive risk models for major adverse cardiovascular events among patients with type 2 diabetes mellitus using health insurance claims data.;Young JB and Gauthier-Loiselle M and Bailey RA and Manceur AM and Lefebvre P and Greenberg M and Lafeuille MH and Duh MS and Bookhart B and Wysham CH;30143045;Yes;n/a;2018;9;No;US;US;Optum;US;High-income economies
Health-related welfare prioritisation of canine disorders using electronic health records in primary care practice in the UK.;Summers JF and O'Neill DG and Church D and Collins L and Sargan D and Brodbelt DC;31118035;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Enhancing the analytic utility of clinical trial data to inform health disparities research.;Cohen SB and Unangst J and Yu F;33319118;No (excluded in title and abstract screening);No medical research (focus on data provision);2020;;;;;;;
Assessment of a demonstrator repository for individual clinical trial data built upon DSpace.;Tilki B and Schulenberg T and Canham S and Banzi R and Kuchinke W and Ohmann C;32528663;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2020;;;;;;;
A Good Practice-Compliant Clinical Trial Imaging Management System for Multicenter Clinical Trials: Development and Validation Study.;Shin Y and Kim KW and Lee AJ and Sung YS and Ahn S and Koo JH and Choi CG and Ko Y and Kim HS and Park SH;31471962;No (excluded in title and abstract screening);No tabular data;2019;;;;;;;
Health timeline: an insight-based study of a timeline visualization of clinical data.;Ledesma A and Bidargaddi N and Strobel J and Schrader G and Nieminen H and Korhonen I and Ermes M;31438942;Yes;n/a;2019;;No;FI;FI;Multiple;AU;High-income economies
Probabilistic record linkage of de-identified research datasets with discrepancies using diagnosis codes.;Hejblum BP and Weber GM and Liao KP and Palmer NP and Churchill S and Shadick NA and Szolovits P and Murphy SN and Kohane IS and Cai T;30620344;No (excluded in title and abstract screening);No medical research (focus on anonymization);2019;;;;;;;
Is paliperidone palmitate more effective than other long-acting injectable antipsychotics?;Patel R and Chesney E and Taylor M and Taylor D and McGuire P;29039277;Yes;n/a;2018;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Machine learning to parse breast pathology reports in Chinese.;Tang R and Ouyang L and Li C and He Y and Griffin M and Taghian A and Smith B and Yala A and Barzilay R and Hughes K;29380208;No (excluded in title and abstract screening);No tabular data;2018;;;;;;;
Use of Oral Anticoagulation in a Real-World Population With Device Detected Atrial Fibrillation.;Kaplan RM and Ziegler PD and Koehler J and Landman S and Sarkar S and Passman RS;33252286;Yes;n/a;2020;9;No;US;US;Optum;US;High-income economies
Occupational Injury Claims Related to Patient Lifting and Moving in a Safety-Oriented Emergency Medical Services Agency.;Fratta KA and Levy MJ and Brothers JM and Baer GD and Scharf B;33062522;No (excluded in title and abstract screening);No tabular data;2020;;;;;;;
General hospital admission rates in people diagnosed with personality disorder.;Fok ML and Chang CK and Broadbent M and Stewart R and Moran P;30689214;Yes;n/a;2019;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Using electronic health records to characterize prescription patterns: focus on antidepressants in nonpsychiatric outpatient settings.;Deferio JJ and Levin TT and Cukor J and Banerjee S and Abdulrahman R and Sheth A and Mehta N and Pathak J;30474077;Yes;n/a;2018;5;No;US;US;Not precisely specified;US;High-income economies
CogStack - experiences of deploying integrated information retrieval and extraction services in a large National Health Service Foundation Trust hospital.;Jackson R and Kartoglu I and Stringer C and Gorrell G and Roberts A and Song X and Wu H and Agrawal A and Lui K and Groza T and Lewsley D and Northwood D and Folarin A and Stewart R and Dobson R;29941004;No (excluded in title and abstract screening);No medical research (focus on anonymization);2018;;;;;;;
Comparative-effectiveness of pembrolizumab vs. nivolumab for patients with metastatic melanoma.;Moser JC and Wei G and Colonna SV and Grossmann KF and Patel S and Hyngstrom JR;31920132;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Machine learning for suicide risk prediction in children and adolescents with electronic health records.;Su C and Aseltine R and Doshi R and Chen K and Rogers SC and Wang F;33243979;Yes;n/a;2020;5;No;US;US;Connecticut Children’s Medical Center;US;High-income economies
Screening for Hypogonadism in Primary Healthcare: How to do this Effectively.;Livingston M and Jones R and Hackett G and Donnahey G and Moreno GY and Duff CJ and Heald AH;29365335;Yes;n/a;2018;4;No;UK;UK;Multiple;UK;High-income economies
Morbidity and mortality with early pulmonary haemorrhage in preterm neonates.;Ahmad KA and Bennett MM and Ahmad SF and Clark RH and Tolia VN;29374627;Yes;n/a;2019;16;No;US;US;Pediatrix Medical Group;US;High-income economies
Pediatric Severe Sepsis Prediction Using Machine Learning.;Le S and Hoffman J and Barton C and Fitzgerald JC and Allen A and Pellegrini E and Calvert J and Das R;31681711;Yes;n/a;2019;1;No;US;US;University of California San Francisco;US;High-income economies
Ventilator Boot Camp Improves the Knowledge and Skills Associated With Mechanical Ventilator Use During Interfacility Transport of Intubated Pediatric Patients.;Walton JL and Dunn DK and Haines NY and Heisler I and Bigham MT and Volsko TA;29559539;No (excluded in full-paper screening);No real-world application (findings not based on real-world data);2018;?;No;US;US;;?;
Using Dispensing Data to Evaluate Adherence Implementation Rates in Community Pharmacy.;Torres-Robles A and Wiecek E and Cutler R and Drake B and Benrimoj SI and Fernandez-Llimos F and Garcia-Cardenas V;30863308;Yes;n/a;2019;;No;AU;AU;The Pharmacy Guild of Australia;AU;High-income economies
Effectiveness and safety of rivaroxaban versus warfarin in obese nonvalvular atrial fibrillation patients: analysis of electronic health record data.;Costa OS and Beyer-Westendorf J and Ashton V and Milentijevic D and Moore KT and Bunz TJ and Coleman CI;32347755;Yes;n/a;2020;9;No;US;US;Optum;US;High-income economies
How Clinical Practice Research Datalink data are used to support pharmacovigilance.;Ghosh RE and Crellin E and Beatty S and Donegan K and Myles P and Williams R;31210923;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
Factors affecting use of unscheduled care for people with advanced cancer: a retrospective cohort study in Scotland.;Mills S and Buchanan D and Guthrie B and Donnan P and Smith B;31740459;Yes;n/a;2019;2;No;UK;UK;Public Health Scotland, NHS Scotland;UK;High-income economies
Trends and predictors of extreme preterm birth: Western Australian population-based cohort study.;Farrant BM and White SW and Shepherd CCJ;30913277;Yes;n/a;2019;15;No;AU;AU;Western Australian Data Linkage System;AU;High-income economies
Practical utility of general practice data capture and spatial analysis for understanding COPD and asthma.;Niyonsenga T and Coffee NT and Del Fante P and Høj SB and Daniel M;30477507;Yes;n/a;2018;10;No;AU;AU;Multiple;AU;High-income economies
Selenium Deficiency in Lymphedema and Lipedema-A Retrospective Cross-Sectional Study from a Specialized Clinic.;Pfister C and Dawczynski H and Schingale FJ;32344864;Yes;n/a;2020;4;No;DE;DE;Lympho-Opt Clinic Pommelsbrunn-Hohenstadt;DE;High-income economies
Proton pump inhibitors and dementia risk: Evidence from a cohort study using linked routinely collected national health data in Wales, UK.;Cooksey R and Kennedy J and Dennis MS and Escott-Price V and Lyons RA and Seaborne M and Brophy S;32946449;Yes;n/a;2020;5;No;UK;UK;SAIL Databank;UK;High-income economies
The impact of universal access to direct-acting antiviral therapy on the hepatitis C cascade of care among individuals attending primary and community health services.;Traeger MW and Pedrana AE and van Santen DK and Doyle JS and Howell J and Thompson AJ and El-Hayek C and Asselin J and Polkinghorne V and Membrey D and Bramwell F and Carter A and Guy R and Stoové MA and Hellard ME;32603349;Yes;n/a;2020;1;No;AU;AU;Multiple;AU;High-income economies
Parsing clinical text using the state-of-the-art deep learning based parsers: a systematic comparison.;Zhang Y and Tiryaki F and Jiang M and Xu H;30943955;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Real-World Dosing Patterns and Outcomes of Patients With Metastatic Pancreatic Cancer Treated With a Liposomal Irinotecan Regimen in the United States.;Barzi A and Miksad R and Surinach A and Corvino FA and Wang S and Torres AZ and Mamlouk K and Pulgar S and Valderrama A and Bekaii-Saab T and Ahn D;32011529;Yes;n/a;2020;2;No;US;US;Flatiron Health;US;High-income economies
Safety of inadvertent administration of live zoster vaccine to immunosuppressed individuals in a UK-based observational cohort analysis.;Grint DJ and McDonald HI and Walker JL and Amirthalingam G and Andrews N and Thomas S;32001495;Yes;n/a;2020;1;No;UK;UK;Clinical Practice Research Datalink;UK;High-income economies
The Safety of the Kahook Dual Blade in the Surgical Treatment of Glaucoma.;Barry M and Alahmadi MW and Alahmadi M and AlMuzaini A and AlMohammadi M;31976190;Yes;n/a;2020;7;No;SA;SA;Al-Maghrabi Hospital;SA;High-income economies
The antinuclear antibody dense fine speckled pattern and possible clinical associations: An indication of a proinflammatory microenvironment.;Lundgren MC and Sapkota S and Peterson DJ and Crosson JT;33121975;Yes;n/a;2021;13;No;US;US;Not precisely specified;US;High-income economies
Practice patterns and outcomes with the use of regorafenib in metastatic colorectal cancer: Results from the Regorafenib in Metastatic colorectal cancer - An Indian exploratory analysis study.;Ramaswamy A and Ostwal V and Pande N and Sharma A and Patil S and Thippeswamy R and Ghadyalpatil N and Roy R and Peshwe H and Poladia B and Rajamanickam D and Rangarajan B and Neelesh Reddy PR and Pandita V and Mukherjee A and Thoke A and Sarkar A and Satish CT and Shashidara H and Banavali SD;30766846;Yes;n/a;2019;2;No;IN;IN;Multiple;IN;Lower-middle-income economies
Community treatment orders and associations with readmission rates and duration of psychiatric hospital admission: a controlled electronic case register study.;Barkhuizen W and Cullen AE and Shetty H and Pritchard M and Stewart R and McGuire P and Patel R;32139493;Yes;n/a;2020;5;No;UK;UK;South London and Maudsley NHS Foundation Trust;UK;High-income economies
Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review.;Sheikhalishahi S and Miotto R and Dudley JT and Lavelli A and Rinaldi F and Osmani V;31066697;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2019;;;;;;;
Managing Patients in the COVID-19 Pandemic: A Virtual Multidisciplinary Approach.;Ganesh R and Salonen BR and Bhuiyan MN and Bierle DM and Moehnke D and Haddad TC and Tande AJ and Wilson J and Hurt RT;33521583;Yes;n/a;2021;22;Yes;US;US;Mayo Clinic ;US;High-income economies
Community Outreach for Navajo People Living with Diabetes: Who Benefits Most?;Trevisi L and Orav JE and Atwood S and Brown C and Curley C and King C and Muskett O and Sehn H and Nelson AK and Begay MG and Shin SS;32701432;Yes;n/a;2020;4;No;US;US;Multiple;US;High-income economies
Effectiveness of viable cryopreserved placental membranes for management of diabetic foot ulcers in a real world setting.;Raspovic KM and Wukich DK and Naiman DQ and Lavery LA and Kirsner RS and Kim PJ and Steinberg JS and Attinger CE and Danilkovitch A;29683538;Yes;n/a;2018;4;No;US;US;Multiple;US;High-income economies
Toward a Model for Personal Health Record Interoperability.;Roehrs A and da Costa CA and Righi RDR and Rigo SJ and Wichman MH;29993759;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2019;;;;;;;
